,School_ID,Name of School,ZIP Code,Community Area Number,Community Area Name,Ward,Police District,Long_Name,Primary_Category,Zip,Student_Count_Total,Student_Count_Low_Income,Student_Count_Special_Ed,Student_Count_Black,Student_Count_Hispanic,Student_Count_White,Student_Count_Asian,Student_Count_Native_American,Student_Count_Asian_Pacific_Islander,Student_Count_Hawaiian_Pacific_Islander,Statistics_Description,Demographic_Description,Overall_Rating,School_Latitude,School_Longitude,Location,School_Survey_Safety,Chronic_Truancy_Pct,count
13,610226,Socorro Sandoval Elementary School,60629,63,GAGE PARK,14,8,Socorro Sandoval Elementary School,ES,60629,744,596,55,12,717,8,0,6,0,0,There are 744 students enrolled at SANDOVAL.  80.1% are Low Income Students.  7.4% are Diverse Learners.  72.6% are Limited English Learners.,The largest demographic at SANDOVAL is Hispanic.  This demographic makes up 96.4% of the student population.  The second greatest demographic is Black at 1.6%.,Level 1+,41.792346,-87.710987,POINT (-87.710987 41.792346),2,41.6,274
14,609722,Manley Career Academy High School,60612,27,EAST GARFIELD PARK,28,11,Manley Career Academy High School,HS,60612,68,53,31,62,6,0,0,0,0,0,There are 68 students enrolled at MANLEY HS.  77.9% are Low Income Students.  45.6% are Diverse Learners.  1.5% are Limited English Learners.,The largest demographic at MANLEY HS is Black.  This demographic makes up 91.2% of the student population.  The second greatest demographic is Hispanic at 8.8%.,Level 2,41.870939,-87.699896,POINT (-87.699896 41.870939),1,81.9,48
15,609749,Northside College Preparatory High School,60625,13,NORTH PARK,40,17,Northside College Preparatory High School,HS,60625,1041,370,95,58,298,397,217,4,0,8,There are 1041 students enrolled at NORTHSIDE PREP HS.  35.5% are Low Income Students.  9.1% are Diverse Learners.  1.8% are Limited English Learners.,The largest demographic at NORTHSIDE PREP HS is White.  This demographic makes up 38.1% of the student population.  The second greatest demographic is Hispanic at 28.6%.,Level 1+,41.981315,-87.708708,POINT (-87.708708 41.981315),4,26.5,49
16,609958,Frank W Gunsaulus Elementary Scholastic Academy,60632,58,BRIGHTON PARK,14,9,Frank W Gunsaulus Elementary Scholastic Academy,ES,60632,657,509,66,14,608,10,18,0,0,0,There are 657 students enrolled at GUNSAULUS.  77.5% are Low Income Students.  10% are Diverse Learners.  41.2% are Limited English Learners.,The largest demographic at GUNSAULUS is Hispanic.  This demographic makes up 92.5% of the student population.  The second greatest demographic is Asian at 2.7%.,Level 1,41.813007,-87.699364,POINT (-87.699364 41.813007),3,20.2,193
17,610121,Washington Irving Elementary School,60612,28,NEAR WEST SIDE,25,12,Washington Irving Elementary School,ES,60612,290,200,47,232,39,13,2,1,0,0,There are 290 students enrolled at IRVING.  69% are Low Income Students.  16.2% are Diverse Learners.  4.5% are Limited English Learners.,The largest demographic at IRVING is Black.  This demographic makes up 80% of the student population.  The second greatest demographic is Hispanic at 13.4%.,Level 2+,41.871595,-87.683616,POINT (-87.683616 41.871595),2,55.0,274
18,610352,Durkin Park Elementary School,60652,70,ASHBURN,18,8,Durkin Park Elementary School,ES,60652,667,484,107,75,557,25,0,1,0,2,There are 667 students enrolled at DURKIN PARK.  72.6% are Low Income Students.  16% are Diverse Learners.  34.3% are Limited English Learners.,The largest demographic at DURKIN PARK is Hispanic.  This demographic makes up 83.5% of the student population.  The second greatest demographic is Black at 11.2%.,Level 2+,41.738844,-87.729955,POINT (-87.729955 41.738844),2,33.0,274
19,609856,Henry Clay Elementary School,60633,55,HEGEWISCH,10,4,Henry Clay Elementary School,ES,60633,538,415,55,98,391,33,1,0,0,0,There are 538 students enrolled at CLAY.  77.1% are Low Income Students.  10.2% are Diverse Learners.  31.8% are Limited English Learners.,The largest demographic at CLAY is Hispanic.  This demographic makes up 72.7% of the student population.  The second greatest demographic is Black at 18.2%.,Level 2+,41.654558,-87.544614,POINT (-87.544614 41.654558),2,46.6,274
20,609919,John Fiske Elementary School,60637,42,WOODLAWN,20,3,John Fiske Elementary School,ES,60637,337,247,43,316,16,1,1,0,0,0,There are 337 students enrolled at FISKE.  73.3% are Low Income Students.  12.8% are Diverse Learners.  2.1% are Limited English Learners.,The largest demographic at FISKE is Black.  This demographic makes up 93.8% of the student population.  The second greatest demographic is Hispanic at 4.7%.,Level 2+,41.785183,-87.608633,POINT (-87.608633 41.785183),2,55.5,274
21,609938,Joseph E Gary Elementary School,60623,30,SOUTH LAWNDALE,22,10,Joseph E Gary Elementary School,ES,60623,754,673,139,1,745,3,2,3,0,0,There are 754 students enrolled at GARY.  89.3% are Low Income Students.  18.4% are Diverse Learners.  49.9% are Limited English Learners.,The largest demographic at GARY is Hispanic.  This demographic makes up 98.8% of the student population.  The second greatest demographic is White at 0.4%.,Level 1,41.837065,-87.718697,POINT (-87.718697 41.837065),2,32.6,274
22,610212,Albany Park Multicultural Academy,60625,14,ALBANY PARK,39,17,Albany Park Multicultural Academy,MS,60625,219,196,26,11,185,11,9,2,0,0,There are 219 students enrolled at ALBANY PARK.  89.5% are Low Income Students.  11.9% are Diverse Learners.  47.9% are Limited English Learners.,The largest demographic at ALBANY PARK is Hispanic.  This demographic makes up 84.5% of the student population.  The second greatest demographic is White at 5%.,Level 1+,41.971504,-87.710609,POINT (-87.710609 41.971504),2,22.4,274
23,610239,Richard J Daley Elementary Academy,60609,61,NEW CITY,16,9,Richard J Daley Elementary Academy,ES,60609,488,411,52,44,440,3,0,1,0,0,There are 488 students enrolled at DALEY.  84.2% are Low Income Students.  10.7% are Diverse Learners.  56.8% are Limited English Learners.,The largest demographic at DALEY is Hispanic.  This demographic makes up 90.2% of the student population.  The second greatest demographic is Black at 9%.,Level 2+,41.802343,-87.672206,POINT (-87.672206 41.802343),2,45.5,274
24,610047,James Madison Elementary School,60619,43,SOUTH SHORE,5,3,James Madison Elementary School,ES,60619,172,140,15,165,6,0,0,0,0,0,There are 172 students enrolled at MADISON.  81.4% are Low Income Students.  8.7% are Diverse Learners.  0.0% are Limited English Learners.,The largest demographic at MADISON is Black.  This demographic makes up 95.9% of the student population.  The second greatest demographic is Hispanic at 3.5%.,Level 2+,41.759548,-87.590712,POINT (-87.590712 41.759548),3,60.6,193
25,610244,Michele Clark Academic Prep Magnet High School,60644,25,AUSTIN,24,15,Michele Clark Academic Prep Magnet High School,HS,60644,461,450,104,449,10,0,0,1,0,0,There are 461 students enrolled at CLARK HS.  97.6% are Low Income Students.  22.6% are Diverse Learners.  1.5% are Limited English Learners.,The largest demographic at CLARK HS is Black.  This demographic makes up 97.4% of the student population.  The second greatest demographic is Hispanic at 2.2%.,Level 2,41.872885,-87.753325,POINT (-87.753325 41.872885),2,90.9,274
26,610013,Pilsen Elementary Community Academy,60608,31,LOWER WEST SIDE,25,12,Pilsen Elementary Community Academy,ES,60608,216,171,41,23,189,2,0,1,0,0,There are 216 students enrolled at PILSEN.  79.2% are Low Income Students.  19% are Diverse Learners.  50% are Limited English Learners.,The largest demographic at PILSEN is Hispanic.  This demographic makes up 87.5% of the student population.  The second greatest demographic is Black at 10.6%.,Level 2+,41.858849,-87.662209,POINT (-87.662209 41.858849),2,30.4,274
27,609799,Alexander Graham Bell Elementary School,60618,5,NORTH CENTER,47,19,Alexander Graham Bell Elementary School,ES,60618,884,117,83,18,159,490,112,0,0,3,There are 884 students enrolled at BELL.  13.2% are Low Income Students.  9.4% are Diverse Learners.  5.5% are Limited English Learners.,The largest demographic at BELL is White.  This demographic makes up 55.4% of the student population.  The second greatest demographic is Hispanic at 18%.,Level 1+,41.94953,-87.686018,POINT (-87.686018 41.94953),4,12.7,49
28,610257,Morton School of Excellence,60612,23,HUMBOLDT PARK,27,13,Morton School of Excellence,ES,60612,183,143,33,145,25,13,0,0,0,0,There are 183 students enrolled at MORTON.  78.1% are Low Income Students.  18% are Diverse Learners.  2.7% are Limited English Learners.,The largest demographic at MORTON is Black.  This demographic makes up 79.2% of the student population.  The second greatest demographic is Hispanic at 13.7%.,Level 2,41.889178,-87.705108,POINT (-87.705108 41.889178),2,50.8,274
29,609725,Morgan Park High School,60643,75,MORGAN PARK,19,22,Morgan Park High School,HS,60643,1109,829,171,1056,26,11,1,1,0,2,There are 1109 students enrolled at MORGAN PARK HS.  74.8% are Low Income Students.  15.4% are Diverse Learners.  0.9% are Limited English Learners.,The largest demographic at MORGAN PARK HS is Black.  This demographic makes up 95.2% of the student population.  The second greatest demographic is Hispanic at 2.3%.,Level 2+,41.692035,-87.665658,POINT (-87.665658 41.692035),1,82.1,48
30,610381,Bronzeville Scholastic Academy High School,60615,38,GRAND BOULEVARD,3,2,Bronzeville Scholastic Academy High School,HS,60615,73,67,20,67,4,1,0,0,0,1,There are 73 students enrolled at BRONZEVILLE HS.  91.8% are Low Income Students.  27.4% are Diverse Learners.  1.4% are Limited English Learners.,The largest demographic at BRONZEVILLE HS is Black.  This demographic makes up 91.8% of the student population.  The second greatest demographic is Hispanic at 5.5%.,Level 2,41.805204,-87.625004,POINT (-87.625004 41.805204),3,51.9,193
31,610251,Willa Cather Elementary School,60612,27,EAST GARFIELD PARK,2,13,Willa Cather Elementary School,ES,60612,339,281,90,322,15,0,0,1,0,0,There are 339 students enrolled at CATHER.  82.9% are Low Income Students.  26.5% are Diverse Learners.  1.5% are Limited English Learners.,The largest demographic at CATHER is Black.  This demographic makes up 95% of the student population.  The second greatest demographic is Hispanic at 4.4%.,Level 2+,41.88295,-87.699187,POINT (-87.699187 41.88295),1,52.8,48
32,609698,William J Bogan High School,60652,70,ASHBURN,18,8,William J Bogan High School,HS,60652,645,522,161,372,260,7,0,0,0,1,There are 645 students enrolled at BOGAN HS.  80.9% are Low Income Students.  25% are Diverse Learners.  17.8% are Limited English Learners.,The largest demographic at BOGAN HS is Black.  This demographic makes up 57.7% of the student population.  The second greatest demographic is Hispanic at 40.3%.,Level 2,41.749376,-87.721097,POINT (-87.721097 41.749376),1,77.1,48
33,609712,Emil G Hirsch Metropolitan High School,60619,69,GREATER GRAND CROSSING,8,6,Emil G Hirsch Metropolitan High School,HS,60619,98,64,29,95,2,0,0,0,0,0,There are 98 students enrolled at HIRSCH HS.  65.3% are Low Income Students.  29.6% are Diverse Learners.  0.0% are Limited English Learners.,The largest demographic at HIRSCH HS is Black.  This demographic makes up 96.9% of the student population.  The second greatest demographic is Hispanic at 2%.,Level 2,41.753748,-87.601727,POINT (-87.601727 41.753748),2,74.7,274
34,610178,Theophilus Schmid Elementary School,60628,50,PULLMAN,8,5,Theophilus Schmid Elementary School,ES,60628,172,132,27,164,7,1,0,0,0,0,There are 172 students enrolled at SCHMID.  76.7% are Low Income Students.  15.7% are Diverse Learners.  0.6% are Limited English Learners.,The largest demographic at SCHMID is Black.  This demographic makes up 95.3% of the student population.  The second greatest demographic is Hispanic at 4.1%.,Level 1,41.716989,-87.596932,POINT (-87.596932 41.716989),2,41.2,274
35,609853,Salmon P Chase Elementary School,60647,22,LOGAN SQUARE,1,14,Salmon P Chase Elementary School,ES,60647,374,246,104,36,254,64,6,0,0,0,There are 374 students enrolled at CHASE.  65.8% are Low Income Students.  27.8% are Diverse Learners.  42.5% are Limited English Learners.,The largest demographic at CHASE is Hispanic.  This demographic makes up 67.9% of the student population.  The second greatest demographic is White at 17.1%.,Level 1+,41.917993,-87.694562,POINT (-87.694562 41.917993),3,41.2,193
36,609773,Louis A Agassiz Elementary School,60657,6,LAKE VIEW,44,19,Harriet Tubman Elementary School,ES,60657,295,92,51,58,81,119,18,1,0,0,There are 295 students enrolled at TUBMAN.  31.2% are Low Income Students.  17.3% are Diverse Learners.  6.8% are Limited English Learners.,The largest demographic at TUBMAN is White.  This demographic makes up 40.3% of the student population.  The second greatest demographic is Hispanic at 27.5%.,Level 1,41.934126,-87.656229,POINT (-87.656229 41.934126),3,31.3,193
37,610143,William C Reavis Math & Science Specialty Elementary School,60615,39,KENWOOD,4,2,William C Reavis Math & Science Specialty ES,ES,60615,292,212,75,286,4,0,1,0,0,0,There are 292 students enrolled at REAVIS.  72.6% are Low Income Students.  25.7% are Diverse Learners.  4.1% are Limited English Learners.,The largest demographic at REAVIS is Black.  This demographic makes up 97.9% of the student population.  The second greatest demographic is Hispanic at 1.4%.,Level 2+,41.804174,-87.604925,POINT (-87.604925 41.804174),2,59.3,274
38,610057,Fairfield Elementary Academy,60629,66,CHICAGO LAWN,15,8,Fairfield Elementary Academy,ES,60629,468,418,61,87,380,0,0,0,0,0,There are 468 students enrolled at FAIRFIELD.  89.3% are Low Income Students.  13% are Diverse Learners.  58.1% are Limited English Learners.,The largest demographic at FAIRFIELD is Hispanic.  This demographic makes up 81.2% of the student population.  The second greatest demographic is Black at 18.6%.,Level 2+,41.780904,-87.692115,POINT (-87.692115 41.780904),2,47.5,274
39,609854,Frederic Chopin Elementary School,60622,24,WEST TOWN,1,13,Frederic Chopin Elementary School,ES,60622,267,223,68,83,161,19,0,1,0,0,There are 267 students enrolled at CHOPIN.  83.5% are Low Income Students.  25.5% are Diverse Learners.  28.8% are Limited English Learners.,The largest demographic at CHOPIN is Hispanic.  This demographic makes up 60.3% of the student population.  The second greatest demographic is Black at 31.1%.,Level 2+,41.896713,-87.688937,POINT (-87.688937 41.896713),2,56.5,274
40,609961,Ninos Heroes Elementary Academic Center,60617,46,SOUTH CHICAGO,10,4,Ninos Heroes Elementary Academic Center,ES,60617,301,228,29,263,38,0,0,0,0,0,There are 301 students enrolled at NINOS HEROES.  75.7% are Low Income Students.  9.6% are Diverse Learners.  11.6% are Limited English Learners.,The largest demographic at NINOS HEROES is Black.  This demographic makes up 87.4% of the student population.  The second greatest demographic is Hispanic at 12.6%.,Level 2,41.743753,-87.551862,POINT (-87.551862 41.743753),2,54.6,274
41,610062,George B McClellan Elementary School,60609,60,BRIDGEPORT,11,9,George B McClellan Elementary School,ES,60609,295,233,64,111,99,54,15,0,0,4,There are 295 students enrolled at MCCLELLAN.  79% are Low Income Students.  21.7% are Diverse Learners.  11.5% are Limited English Learners.,The largest demographic at MCCLELLAN is Black.  This demographic makes up 37.6% of the student population.  The second greatest demographic is Hispanic at 33.6%.,Level 1,41.829993,-87.641103,POINT (-87.641103 41.829993),3,57.6,193
42,610105,Oriole Park Elementary School,60656,10,NORWOOD PARK,41,16,Oriole Park Elementary School,ES,60656,592,114,63,10,165,355,43,2,0,1,There are 592 students enrolled at ORIOLE PARK.  19.3% are Low Income Students.  10.6% are Diverse Learners.  8.3% are Limited English Learners.,The largest demographic at ORIOLE PARK is White.  This demographic makes up 60% of the student population.  The second greatest demographic is Hispanic at 27.9%.,Level 1+,41.978501,-87.812054,POINT (-87.812054 41.978501),4,21.9,49
43,609837,Andrew Carnegie Elementary School,60637,42,WOODLAWN,20,3,Andrew Carnegie Elementary School,ES,60637,438,322,73,422,8,3,2,0,0,0,There are 438 students enrolled at CARNEGIE.  73.5% are Low Income Students.  16.7% are Diverse Learners.  0.9% are Limited English Learners.,The largest demographic at CARNEGIE is Black.  This demographic makes up 96.3% of the student population.  The second greatest demographic is Hispanic at 1.8%.,Level 2+,41.783368,-87.590795,POINT (-87.590795 41.783368),2,48.4,274
44,610054,John L Marsh Elementary School,60617,51,SOUTH DEERING,10,4,John L Marsh Elementary School,ES,60617,638,500,110,59,559,13,0,4,0,0,There are 638 students enrolled at MARSH.  78.4% are Low Income Students.  17.2% are Diverse Learners.  34.3% are Limited English Learners.,The largest demographic at MARSH is Hispanic.  This demographic makes up 87.6% of the student population.  The second greatest demographic is Black at 9.2%.,Level 1,41.716588,-87.552483,POINT (-87.552483 41.716588),2,45.8,274
45,610392,World Language Academy High School,60623,30,SOUTH LAWNDALE,22,10,World Language Academy High School,HS,60623,344,312,79,5,336,2,0,0,0,0,There are 344 students enrolled at WORLD LANGUAGE HS.  90.7% are Low Income Students.  23% are Diverse Learners.  45.9% are Limited English Learners.,The largest demographic at WORLD LANGUAGE HS is Hispanic.  This demographic makes up 97.7% of the student population.  The second greatest demographic is Black at 1.5%.,Level 1,41.834397,-87.735292,POINT (-87.735292 41.834397),2,47.2,274
46,609777,Phillip D Armour Elementary School,60608,60,BRIDGEPORT,11,9,Phillip D Armour Elementary School,ES,60608,248,181,35,29,178,21,10,1,0,1,There are 248 students enrolled at ARMOUR.  73% are Low Income Students.  14.1% are Diverse Learners.  24.6% are Limited English Learners.,The largest demographic at ARMOUR is Hispanic.  This demographic makes up 71.8% of the student population.  The second greatest demographic is Black at 11.7%.,Level 1,41.833854,-87.650653,POINT (-87.650653 41.833854),3,35.2,193
47,609941,Asa Philip Randolph Elementary School,60636,67,WEST ENGLEWOOD,17,7,Asa Philip Randolph Elementary School,ES,60636,339,274,31,287,51,1,0,0,0,0,There are 339 students enrolled at RANDOLPH.  80.8% are Low Income Students.  9.1% are Diverse Learners.  9.4% are Limited English Learners.,The largest demographic at RANDOLPH is Black.  This demographic makes up 84.7% of the student population.  The second greatest demographic is Hispanic at 15%.,Level 2,41.760614,-87.675966,POINT (-87.675966 41.760614),2,43.8,274
48,610060,Andrew Jackson Elementary Language Academy,60607,28,NEAR WEST SIDE,2,12,Chicago World Language Academy,ES,60607,453,163,49,144,143,52,90,1,0,0,There are 453 students enrolled at Chicago World Language Academy.  36% are Low Income Students.  10.8% are Diverse Learners.  15.7% are Limited English Learners.,The largest demographic at Chicago World Language Academy is Black.  This demographic makes up 31.8% of the student population.  The second greatest demographic is Hispanic at 31.6%.,Level 1+,41.8743,-87.660985,POINT (-87.660985 41.8743),3,16.1,193
49,609772,Jane Addams Elementary School,60617,52,EAST SIDE,10,4,Jane Addams Elementary School,ES,60617,552,400,59,17,517,18,0,0,0,0,There are 552 students enrolled at ADDAMS.  72.5% are Low Income Students.  10.7% are Diverse Learners.  40.8% are Limited English Learners.,The largest demographic at ADDAMS is Hispanic.  This demographic makes up 93.7% of the student population.  The second greatest demographic is White at 3.3%.,Level 1,41.698739,-87.532976,POINT (-87.532976 41.698739),3,41.2,193
50,610385,Multicultural Academy of Scholarship,60623,30,SOUTH LAWNDALE,22,10,Multicultural Arts High School,HS,60623,248,222,54,45,201,1,0,1,0,0,There are 248 students enrolled at MULTICULTURAL ARTS HIGH SCHOOL.  89.5% are Low Income Students.  21.8% are Diverse Learners.  34.7% are Limited English Learners.,The largest demographic at MULTICULTURAL ARTS HIGH SCHOOL is Hispanic.  This demographic makes up 81% of the student population.  The second greatest demographic is Black at 18.1%.,Level 2+,41.835282,-87.735283,POINT (-87.735283 41.835282),1,71.4,48
51,609808,Alex Haley Elementary Academy,60628,49,ROSELAND,34,22,Alex Haley Elementary Academy,ES,60628,442,378,67,419,21,1,0,0,0,1,There are 442 students enrolled at HALEY.  85.5% are Low Income Students.  15.2% are Diverse Learners.  0.5% are Limited English Learners.,The largest demographic at HALEY is Black.  This demographic makes up 94.8% of the student population.  The second greatest demographic is Hispanic at 4.8%.,Level 1,41.68666,-87.633632,POINT (-87.633632 41.68666),2,43.0,274
52,609779,George Armstrong International Studies Elementary School,60645,2,WEST RIDGE,50,24,George Armstrong International Studies ES,ES,60645,1253,952,148,348,473,110,280,7,0,0,There are 1253 students enrolled at ARMSTRONG G.  76% are Low Income Students.  11.8% are Diverse Learners.  44.2% are Limited English Learners.,The largest demographic at ARMSTRONG G is Hispanic.  This demographic makes up 37.7% of the student population.  The second greatest demographic is Black at 27.8%.,Level 1+,42.01015,-87.684442,POINT (-87.684442 42.01015),3,29.4,193
53,609896,Thomas Drummond Elementary School,60622,22,LOGAN SQUARE,32,14,Thomas Drummond Elementary School,ES,60622,307,42,40,23,79,146,19,0,0,0,There are 307 students enrolled at DRUMMOND.  13.7% are Low Income Students.  13% are Diverse Learners.  8.1% are Limited English Learners.,The largest demographic at DRUMMOND is White.  This demographic makes up 47.6% of the student population.  The second greatest demographic is Hispanic at 25.7%.,Level 1+,41.915914,-87.674495,POINT (-87.674495 41.915914),4,14.9,49
54,610198,Douglas Taylor Elementary School,60617,52,EAST SIDE,10,4,Douglas Taylor Elementary School,ES,60617,339,279,75,29,282,26,0,2,0,0,There are 339 students enrolled at TAYLOR.  82.3% are Low Income Students.  22.1% are Diverse Learners.  46% are Limited English Learners.,The largest demographic at TAYLOR is Hispanic.  This demographic makes up 83.2% of the student population.  The second greatest demographic is Black at 8.6%.,Level 2,41.71547,-87.532971,POINT (-87.532971 41.71547),2,46.8,274
55,609862,Edward Coles Elementary Language Academy,60617,46,SOUTH CHICAGO,7,4,Edward Coles Elementary Language Academy,ES,60617,265,203,33,252,12,0,0,0,0,0,There are 265 students enrolled at COLES.  76.6% are Low Income Students.  12.5% are Diverse Learners.  4.2% are Limited English Learners.,The largest demographic at COLES is Black.  This demographic makes up 95.1% of the student population.  The second greatest demographic is Hispanic at 4.5%.,Level 2,41.741413,-87.56597,POINT (-87.56597 41.741413),1,59.5,48
56,610117,Louis Pasteur Elementary School,60629,62,WEST ELSDON,13,8,Louis Pasteur Elementary School,ES,60629,580,389,80,10,553,11,0,2,0,0,There are 580 students enrolled at PASTEUR.  67.1% are Low Income Students.  13.8% are Diverse Learners.  38.3% are Limited English Learners.,The largest demographic at PASTEUR is Hispanic.  This demographic makes up 95.3% of the student population.  The second greatest demographic is White at 1.9%.,Level 2+,41.786895,-87.732666,POINT (-87.732666 41.786895),5,40.6,19
